ORIGEN;DESTINO
CUMARIBO;SAN JOSE DEL GUAVIARE
CUMARIBO;PUERTO CARRENO
CUMARIBO;VILLAVICENCIO
LA PRIMAVERA;EL ENCANTO
EL ENCANTO;VILLAVICENCIO
SAN JOSE DEL GUAVIARE;PUERTO INIRIDA
CUMARIBO;PUERTO CARRENO
CUMARIBO;VILLAVICENCIO
ARARACUARA;LA CHORRERA
BOGOTA;EL YOPAL
BOGOTA;VILLAVICENCIO
CARURU;SAN JOSE DEL GUAVIARE
EL YOPAL;BOGOTA
EL YOPAL;PUERTO CARRENO
FLORENCIA;ARARACUARA
CHIA;VILLAVICENCIO
PUERTO INIRIDA;VILLAVICENCIO
LA CHORRERA;SAN JOSE DEL GUAVIARE
LA MACARENA;VILLAVICENCIO
MIRAFLORES - GUAVIARE;SAN JOSE DEL GUAVIARE
PUERTO CARRENO;CHIA
PUERTO CARRENO;PUERTO CARRENO
PUERTO CARRENO;VILLAVICENCIO
PUERTO CARRENO;PUERTO CARRENO
PUERTO CARRENO;VILLAVICENCIO
SAN JOSE DEL GUAVIARE;CARURU
SAN JOSE DEL GUAVIARE;MIRAFLORES - GUAVIARE
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SAN VICENTE DEL CAGUAN;FLORENCIA
LA URIBE;VILLAVICENCIO
VILLAVICENCIO;CUMARIBO
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;CUMARIBO
VILLAVICENCIO;BOGOTA
VILLAVICENCIO;CARURU
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;CHIA
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;SAN VICENTE DEL CAGUAN
VILLAVICENCIO;LA URIBE
SANTA ROSA DEL SUR;BUCARAMANGA
AGUACHICA;BUCARAMANGA
ARAUCA;BUCARAMANGA
BUCARAMANGA;SANTA ROSA DEL SUR
BUCARAMANGA;AGUACHICA
BUCARAMANGA;CIMITARRA
BUCARAMANGA;BARRANCABERMEJA
BUCARAMANGA;MEDELLIN
BUCARAMANGA;HATO COROZAL
BUCARAMANGA;PUERTO GAITAN
CAUCASIA;MEDELLIN
CIMITARRA;BUCARAMANGA
CALI;MANIZALES
CUCUTA;BUCARAMANGA
BARRANCABERMEJA;BUCARAMANGA
MEDELLIN;BUCARAMANGA
MEDELLIN;CAUCASIA
MEDELLIN;CALI
MEDELLIN;CHIA
CHIA;BUCARAMANGA
HATO COROZAL;SARAVENA
RIONEGRO - ANTIOQUIA;MEDELLIN
MANIZALES;MEDELLIN
PUERTO GAITAN;CUCUTA
SARAVENA;ARAUCA
LA PRIMAVERA;VILLAVICENCIO
EL ENCANTO;LA CHORRERA
EL ENCANTO;LETICIA
MIRITI-PARANA;LA PEDRERA
ARARACUARA;MIRAFLORES - GUAVIARE
ARARACUARA;SAN JOSE DEL GUAVIARE
YOPAL;LA CHORRERA
YOPAL;SAN JOSE DEL GUAVIARE
ARAUCA;EL YOPAL
ARAUCA;CRAVO NORTE
ARAUCA;ARAUCA
CARURU;MIRAFLORES - GUAVIARE
CARURU;SAN JOSE DEL GUAVIARE
EL YOPAL;EL YOPAL
EL YOPAL;LA PEDRERA
EL YOPAL;MAPIRIPAN
EL YOPAL;PUERTO CARRENO
EL YOPAL;LA PRIMAVERA
EL YOPAL;CRAVO NORTE
EL YOPAL;ARAUCA
EL YOPAL;SARAVENA
EL YOPAL;SANTA ROSALIA
EL YOPAL;TAME
EL YOPAL;VILLAVICENCIO
LA CHORRERA;EL ENCANTO
LA CHORRERA;ARARACUARA
LA CHORRERA;SAN JOSE DEL GUAVIARE
LETICIA;MIRITI-PARANA
LETICIA;LETICIA
LETICIA;LETICIA
LA PEDRERA;YOPAL
LA PEDRERA;EL YOPAL
LA PEDRERA;LETICIA
MAPIRIPAN;EL YOPAL
MIRAFLORES - GUAVIARE;CARURU
MIRAFLORES - GUAVIARE;SAN JOSE DEL GUAVIARE
PACOA;LETICIA
PUERTO CARRENO;LA PRIMAVERA
PUERTO CARRENO;VILLAVICENCIO
LA PRIMAVERA;EL YOPAL
LA PRIMAVERA;VILLAVICENCIO
LETICIA;LETICIA
CRAVO NORTE;EL YOPAL
ARAUCA;ARAUCA
SARAVENA;EL YOPAL
SAN JOSE DEL GUAVIARE;ARARACUARA
SAN JOSE DEL GUAVIARE;YOPAL
SAN JOSE DEL GUAVIARE;CARURU
SAN JOSE DEL GUAVIARE;LA CHORRERA
SAN JOSE DEL GUAVIARE;MIRAFLORES - GUAVIARE
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SANTA ROSALIA;EL YOPAL
SANTA ROSALIA;LA PRIMAVERA
LETICIA;LETICIA
LETICIA;LA PEDRERA
LETICIA;PACOA
TAME;ARAUCA
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;SANTA ROSALIA
INIRIDA;MITU
SAN JOSE DEL GUAVIARE;MITU
PUERTO INIRIDA;MITU
CARURU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;INIRIDA
MITU;SAN JOSE DEL GUAVIARE
MITU;PUERTO INIRIDA
MITU;CARURU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;MITU
MITU;TARAIRA
MITU;VILLAVICENCIO
MITU;MITU
MITU;MITU
TARAIRA;MITU
TARAIRA;TARAIRA
VILLAVICENCIO;MITU
VILLAVICENCIO;VILLAVICENCIO
SAN FELIPE;PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);PUERTO CARRENO
GUAINIA (BARRANCO MINAS);SAN JOSE DEL GUAVIARE
GUAINIA (BARRANCO MINAS);VILLAVICENCIO
PUERTO INIRIDA;SAN FELIPE
PUERTO INIRIDA;GUAINIA (BARRANCO MINAS)
LA GAVIOTA;VILLAVICENCIO
LA PEDRERA;TARAIRA
LA PRIMAVERA;VILLAVICENCIO
PUERTO CARRENO;GUAINIA (BARRANCO MINAS)
PUERTO CARRENO;PUERTO CARRENO
PUERTO CARRENO;VILLAVICENCIO
PUERTO CARRENO;PUERTO CARRENO
SAN JOSE DEL GUAVIARE;TARAIRA
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
TARAIRA;LA PEDRERA
TARAIRA;SAN JOSE DEL GUAVIARE
TARAIRA;VILLAVICENCIO
VILLAVICENCIO;GUAINIA (BARRANCO MINAS)
VILLAVICENCIO;LA GAVIOTA
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;TARAIRA
VILLAVICENCIO;VILLAVICENCIO
BOGOTA;CALI
BOGOTA;GUATEMALA
BOGOTA;RIONEGRO - ANTIOQUIA
CALI;RIONEGRO - ANTIOQUIA
CARTAGENA;RIONEGRO - ANTIOQUIA
COROZAL;RIONEGRO - ANTIOQUIA
FORT LAUDERDALE;RIONEGRO - ANTIOQUIA
GUATEMALA;BOGOTA
GUATEMALA;RIONEGRO - ANTIOQUIA
LIMA;RIONEGRO - ANTIOQUIA
RIONEGRO - ANTIOQUIA;BOGOTA
RIONEGRO - ANTIOQUIA;CALI
RIONEGRO - ANTIOQUIA;CARTAGENA
RIONEGRO - ANTIOQUIA;GUATEMALA
RIONEGRO - ANTIOQUIA;LIMA
RIONEGRO - ANTIOQUIA;MIAMI
RIONEGRO - ANTIOQUIA;MONTERIA
RIONEGRO - ANTIOQUIA;PEREIRA
RIONEGRO - ANTIOQUIA;SANTIAGO
MIAMI;RIONEGRO - ANTIOQUIA
MONTERIA;COROZAL
MONTERIA;RIONEGRO - ANTIOQUIA
PEREIRA;RIONEGRO - ANTIOQUIA
SANTIAGO;RIONEGRO - ANTIOQUIA
PAZ DE ARIPORO;EL YOPAL
EL YOPAL;PAZ DE ARIPORO
EL YOPAL;PUERTO GAITAN
PUERTO GAITAN;EL YOPAL
PUERTO CARRENO;VILLAVICENCIO
CUMARIBO;GUAINIA (BARRANCO MINAS)
CUMARIBO;PUERTO CARRENO
CUMARIBO;LA PRIMAVERA
CUMARIBO;VILLAVICENCIO
PUERTO GAITAN;VILLAVICENCIO
LA PRIMAVERA;PUERTO CARRENO
CUMARIBO;PUERTO GAITAN
CUMARIBO;LA PRIMAVERA
CUMARIBO;SANTA ROSALIA
SANTA ROSALIA;VILLAVICENCIO
LA PRIMAVERA;PUERTO CARRENO
LA PRIMAVERA;VILLAVICENCIO
LA PRIMAVERA;LA PRIMAVERA
LA PRIMAVERA;SANTA ROSALIA
SAN FELIPE;PUERTO GAITAN
PUERTO GAITAN;VILLAVICENCIO
CUMARIBO;VILLAVICENCIO
EL ENCANTO;LA CHORRERA
PUERTO INIRIDA;MITU
MIRITI-PARANA;LA PEDRERA
MIRITI-PARANA;LETICIA
ARARACUARA;EL ENCANTO
ARARACUARA;SAN JOSE DEL GUAVIARE
ARARACUARA;VILLAVICENCIO
YOPAL;LA CHORRERA
GUAINIA (BARRANCO MINAS);CUMARIBO
GUAINIA (BARRANCO MINAS);CUMARIBO
GUAINIA (BARRANCO MINAS);PUERTO CARRENO
GUAINIA (BARRANCO MINAS);PUERTO CARRENO
GUAINIA (BARRANCO MINAS);PUERTO INIRIDA
GUAINIA (BARRANCO MINAS);VILLAVICENCIO
CARURU;MIRITI-PARANA
CARURU;MIRAFLORES - GUAVIARE
CARURU;SAN JOSE DEL GUAVIARE
CARURU;VILLAVICENCIO
EL YOPAL;VILLAVICENCIO
FLORENCIA;SAN VICENTE DEL CAGUAN
PUERTO CARRENO;VILLAVICENCIO
CHIA;VILLAVICENCIO
LA CHORRERA;EL ENCANTO
LA CHORRERA;LETICIA
LA CHORRERA;SAN JOSE DEL GUAVIARE
LETICIA;LA PEDRERA
LETICIA;MITU
LA GAVIOTA;SANTA ROSALIA
LA MACARENA;MAPIRIPAN
LA MACARENA;SAN JOSE DEL GUAVIARE
LA MACARENA;LA URIBE
LA MACARENA;VILLAVICENCIO
LA MACARENA;VILLAVICENCIO
LA PEDRERA;LETICIA
LA PEDRERA;MITU
LA PEDRERA;TARAIRA
PUERTO LEGUIZAMO;FLORENCIA
PUERTO LEGUIZAMO;LETICIA
PUERTO LEGUIZAMO;VILLAVICENCIO
MAPIRIPAN;EL YOPAL
MAPIRIPAN;VILLAVICENCIO
MIRAFLORES - GUAVIARE;CARURU
MIRAFLORES - GUAVIARE;SAN JOSE DEL GUAVIARE
MITU;MITU
MITU;VILLAVICENCIO
MITU;MITU
MITU;MITU
MITU;PUERTO INIRIDA
MITU;SAN JOSE DEL GUAVIARE
MITU;VILLAVICENCIO
MITU;PUERTO INIRIDA
MITU;MITU
PACOA;MITU
PACOA;VILLAVICENCIO
PUERTO CARRENO;CUMARIBO
PUERTO CARRENO;LA PRIMAVERA
PUERTO CARRENO;LA PRIMAVERA
PUERTO CARRENO;VILLAVICENCIO
PUERTO CARRENO;CHIA
PUERTO CARRENO;VILLAVICENCIO
PUERTO GAITAN;GUAINIA (BARRANCO MINAS)
PUERTO GAITAN;VILLAVICENCIO
PUERTO INIRIDA;LA PRIMAVERA
PUERTO INIRIDA;PUERTO CARRENO
LA PRIMAVERA;CUMARIBO
LA PRIMAVERA;LA PRIMAVERA
LA PRIMAVERA;SANTA ROSALIA
LA PRIMAVERA;SAN FELIPE
LA PRIMAVERA;CUMARIBO
LA PRIMAVERA;PUERTO CARRENO
LA PRIMAVERA;SANTA ROSALIA
LA PRIMAVERA;VILLAVICENCIO
LETICIA;PUERTO LEGUIZAMO
LETICIA;SAN JOSE DEL GUAVIARE
SAN JOSE DEL GUAVIARE;ARARACUARA
SAN JOSE DEL GUAVIARE;CARURU
SAN JOSE DEL GUAVIARE;LA CHORRERA
SAN JOSE DEL GUAVIARE;PUERTO LEGUIZAMO
SAN JOSE DEL GUAVIARE;MIRAFLORES - GUAVIARE
SAN JOSE DEL GUAVIARE;MITU
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SANTA ROSALIA;LA PRIMAVERA
SANTA ROSALIA;VILLAVICENCIO
SAN VICENTE DEL CAGUAN;LA MACARENA
SAN VICENTE DEL CAGUAN;VILLAVICENCIO
LETICIA;LA PEDRERA
TARAIRA;MITU
TRINIDAD;VILLAVICENCIO
SAN JOSE DEL GUAVIARE;SAN JOSE DEL GUAVIARE
LA URIBE;VILLAVICENCIO
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;CUMARIBO
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;CUMARIBO
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;MIRITI-PARANA
VILLAVICENCIO;ARARACUARA
VILLAVICENCIO;YOPAL
VILLAVICENCIO;GUAINIA (BARRANCO MINAS)
VILLAVICENCIO;CARURU
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;LA GAVIOTA
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;LA PEDRERA
VILLAVICENCIO;PUERTO LEGUIZAMO
VILLAVICENCIO;MAPIRIPAN
VILLAVICENCIO;MITU
VILLAVICENCIO;MITU
VILLAVICENCIO;PACOA
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;SANTA ROSALIA
VILLAVICENCIO;SAN VICENTE DEL CAGUAN
VILLAVICENCIO;TRINIDAD
VILLAVICENCIO;LA URIBE
VILLAVICENCIO;VILLAVICENCIO
VILLAVICENCIO;VILLAVICENCIO
PUERTO GAITAN;LA PRIMAVERA
CUMARIBO;LA PRIMAVERA
CUMARIBO;LA PRIMAVERA
CUMARIBO;VILLAVICENCIO
PUERTO GAITAN;VILLAVICENCIO
LA PRIMAVERA;LA GAVIOTA
MITU;SAN MARTIN
LA PRIMAVERA;LA PRIMAVERA
LA PRIMAVERA;VILLAVICENCIO
INIRIDA;SAN MARTIN
SAN JOSE DEL GUAVIARE;SAN MARTIN
PUERTO INIRIDA;SAN MARTIN
GUAINIA (BARRANCO MINAS);CUMARIBO
CARURU;SAN MARTIN
EL YOPAL;VILLAVICENCIO
PUERTO CARRENO;VILLAVICENCIO
LA GAVIOTA;VILLAVICENCIO
LA MACARENA;VILLAVICENCIO
LA PEDRERA;MITU
LA PEDRERA;MITU
LA PEDRERA;MITU
LA PEDRERA;SAN MARTIN
LA PRIMAVERA;VILLAVICENCIO
MITU;MITU
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;MITU
MITU;SAN MARTIN
MITU;LA PEDRERA
MITU;MITU
MITU;SAN MARTIN
MITU;MITU
MITU;SAN MARTIN
MITU;MITU
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;MITU
MITU;SAN MARTIN
MITU;LA PEDRERA
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
SAN MARTIN;MITU
SAN MARTIN;INIRIDA
SAN MARTIN;SAN JOSE DEL GUAVIARE
SAN MARTIN;PUERTO INIRIDA
SAN MARTIN;CARURU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;MITU
SAN MARTIN;PACOA
SAN MARTIN;TARAIRA
MITU;SAN MARTIN
MITU;MITU
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
MITU;SAN MARTIN
PACOA;SAN MARTIN
PUERTO CARRENO;LA PRIMAVERA
PUERTO CARRENO;VILLAVICENCIO
PUERTO CARRENO;LA GAVIOTA
PUERTO CARRENO;PAZ DE ARIPORO
PUERTO CARRENO;SANTA ROSALIA
PUERTO CARRENO;VILLAVICENCIO
LA PRIMAVERA;LA PRIMAVERA
LA PRIMAVERA;PUERTO CARRENO
LA PRIMAVERA;PUERTO CARRENO
LA PRIMAVERA;SANTA ROSALIA
LA PRIMAVERA;VILLAVICENCIO
PAZ DE ARIPORO;LA PRIMAVERA
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SANTA ROSALIA;GUAINIA (BARRANCO MINAS)
SANTA ROSALIA;VILLAVICENCIO
TARAIRA;LA PEDRERA
TARAIRA;SAN MARTIN
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;CUMARIBO
VILLAVICENCIO;PUERTO GAITAN
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;EL YOPAL
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;LA MACARENA
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;SAN MARTIN
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;PUERTO CARRENO
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;SAN JOSE DEL GUAVIARE
VILLAVICENCIO;SANTA ROSALIA
AGUACHICA;BARRANQUILLA
BARRANQUILLA;AGUACHICA
BARRANQUILLA;BARRANQUILLA
BARRANQUILLA;MOMPOS
BARRANQUILLA;RIOHACHA
MOMPOS;BARRANQUILLA
RIOHACHA;BARRANQUILLA
SANTA ROSA DEL SUR;BUCARAMANGA
BUCARAMANGA;SANTA ROSA DEL SUR
BUCARAMANGA;CARTAGENA
BUCARAMANGA;RIONEGRO
BUCARAMANGA;MALAGA
BUCARAMANGA;SARAVENA
BUCARAMANGA;SAN GIL
BUCARAMANGA;VILLAVICENCIO
BOGOTA;BUCARAMANGA
CARTAGENA;BOGOTA
RIONEGRO;BUCARAMANGA
MALAGA;BUCARAMANGA
SARAVENA;BUCARAMANGA
SAN GIL;BUCARAMANGA
VILLAVICENCIO;BUCARAMANGA
OROCUE;BARRANCABERMEJA
TRINIDAD;EL YOPAL
TRINIDAD;PAZ DE ARIPORO
TRINIDAD;TRINIDAD
ARARACUARA;CHIA
AGUACHICA;ARAUCA
OROCUE;CHIA
ARAUCA;EL YOPAL
ARAUCA;CHIA
BARRANQUILLA;CHIA
BUCARAMANGA;CHIA
CARTAGO;CHIA
CARTAGENA;BARRANCABERMEJA
BARRANCABERMEJA;CHIA
BARRANCABERMEJA;SANTA MARTA
BARRANCABERMEJA;VILLAVICENCIO
MEDELLIN;CHIA
EL YOPAL;TRINIDAD
EL YOPAL;CHIA
EL YOPAL;LA PRIMAVERA
EL YOPAL;OROCUE
EL YOPAL;PAIPA
EL YOPAL;PAZ DE ARIPORO
EL YOPAL;TRINIDAD
EL YOPAL;VILLAVICENCIO
FLANDES;FLANDES
FLANDES;CHIA
CHIA;OROCUE
CHIA;AGUACHICA
CHIA;OROCUE
CHIA;ARAUCA
CHIA;BUCARAMANGA
CHIA;CARTAGENA
CHIA;BARRANCABERMEJA
CHIA;MEDELLIN
CHIA;EL YOPAL
CHIA;FLANDES
CHIA;IBAGUE
CHIA;LA MACARENA
CHIA;RIONEGRO - ANTIOQUIA
CHIA;MALAGA
CHIA;MARIQUITA
CHIA;MONTERIA
CHIA;MITU
CHIA;MANIZALES
CHIA;NEIVA
CHIA;PITALITO
CHIA;PUERTO ASIS
CHIA;SAN JOSE DEL GUAVIARE
CHIA;VILLA GARZON
CHIA;VILLANUEVA - CASANARE
CHIA;VILLAVICENCIO
IBAGUE;CHIA
LA MACARENA;CHIA
LA PEDRERA;CHIA
LA PRIMAVERA;EL YOPAL
LA PRIMAVERA;CHIA
PUERTO LEGUIZAMO;SAN VICENTE DEL CAGUAN
RIONEGRO - ANTIOQUIA;CARTAGO
RIONEGRO - ANTIOQUIA;CHIA
MALAGA;CHIA
MARIQUITA;CHIA
MONTERIA;BARRANCABERMEJA
MITU;CHIA
MANIZALES;CHIA
NEIVA;EL YOPAL
NEIVA;CHIA
NEIVA;MARIQUITA
OROCUE;EL YOPAL
PUERTO CARRENO;VILLAVICENCIO
PUERTO GAITAN;VILLAVICENCIO
PAIPA;FLANDES
PITALITO;CHIA
PUERTO ASIS;NEIVA
PUERTO ASIS;VILLAVICENCIO
PAZ DE ARIPORO;EL YOPAL
PAZ DE ARIPORO;TRINIDAD
SAN JOSE DEL GUAVIARE;ARARACUARA
SAN JOSE DEL GUAVIARE;CHIA
SAN JOSE DEL GUAVIARE;LA MACARENA
SAN JOSE DEL GUAVIARE;LA PEDRERA
SAN JOSE DEL GUAVIARE;VILLAVICENCIO
SANTA MARTA;BARRANQUILLA
SAN VICENTE DEL CAGUAN;PUERTO LEGUIZAMO
SAN VICENTE DEL CAGUAN;PUERTO ASIS
SAN VICENTE DEL CAGUAN;SAN JOSE DEL GUAVIARE
SAN VICENTE DEL CAGUAN;VILLAVICENCIO
TRINIDAD;EL YOPAL
TRINIDAD;PAZ DE ARIPORO
VILLA GARZON;EL YOPAL
VILLA GARZON;NEIVA
VILLANUEVA - CASANARE;CHIA
VILLAVICENCIO;CARTAGENA
VILLAVICENCIO;CHIA
VILLAVICENCIO;LA PRIMAVERA
VILLAVICENCIO;NEIVA
VILLAVICENCIO;PUERTO CARRENO
